transliteration,sorting,period,morphology,number,person,class,affix,semantics,root ≠ base,base,pagenumber,adjectival use,classifier_front,classifier_end,logogram,morpheme_1,morpheme_2,morpheme_3,sense_hk,certainty-weight_hk,sense_MEGA,certainty-weight_MEGA,proper_name_context,contributor,validator,lang_context,loan_lang,unicode,Wordnet,Notes,POS,variant,cognate,case,conjugation,mode,voice,frequency,rich
ha-la-at-im-ma,halaatimma,mE,clay-LOC,,,,-imma,,,halat,594,x,,,,-ma;postp.loc,,,ous Lehmziegeln,1,"clay, clay brick",1,,f,,,,,,,noun,ha-la-at,,,,,,,"<qt><font color=""#690000"">ha</font>-la-<font color=""#690000"">at</font>-<font color=""#b40000"">im</font>-<font color=""#b40000"">ma</font></qt>"
ha-la-at-ni,halaatni,mE,clay-GEN,,,,-na,,,halat,594,x,,,,-ni;postp.gen,,,ous Lehmziegeln,1,"clay, clay brick",1,,f,,,,,,,noun,ha-la-at,,,,,,,"<qt><font color=""#690000"">ha</font>-la-<font color=""#690000"">at</font>-<font color=""#c30000"">ni</font></qt>"
hu-h-pa-ak,huhpaak,oE,follow-PASS.PTCP,,,,,,,huhpa-,686,x,,,,-k-;ii,,,"vorgegangen, vorangegangen",1,,,,f,,,,,,,verb,"zí-we.pa-la-ra.hu-h-pa-ak, v.si-me.ba-la-ar.hu-h-ba-ak, te-im-ti.hu-h-pa-ak",,,,,,1,"<qt><font color=""#d50000"">hu</font>-<font color=""#d50000"">h</font>-<font color=""#690000"">pa</font>-<font color=""#690000"">ak</font></qt>"
hu-h-qa-ad-du-[man-na],huhqaaddumanna,nE,wood2-addumanna?,,,,,,,kat,686,x,huh.,,,-ma;postp.loc,-na;postp.gen,,hölzern,1,,,,IC,f,,,,,,adjective,"hu-h-kat7, ki-iš-qa-ad-du-um-man-na",,,,,,,"<qt><font color=""#d50000"">hu</font>-<font color=""#d50000"">h</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">ad</font>-<font color=""#9b0000"">du</font>-<font color=""#690000"">man</font>-na</qt>"
hu-h-qat-na-man-na,huhqatnamanna,nE,huhka-namanna?,Sg.,2nd,,,,,kat,686,x,huh.,,,-ma;postp.loc,-na;postp.gen,,hölzern,1,,,,IC,f,,,,,,adjective,"hu-h-qa-ad-du-[man-na], ki-iš-qa-ad-du-um-man-na",,,,,,1,
d.na-pi-na,napina,achE,god-PL?-GEN,,,,-na,,,nap,986,x,DINGIR,,,-na;postp.gen,,, für die Götter,1,,,,IC,f,,,,,,noun,d.na-ap-pi,,,,,,,"<qt><font color=""#c30000"">d</font>.na-<font color=""#de0000"">pi</font>-na</qt>"
nap-ir,napir,oE,god-SG,Sg.,3rd Anim.,,,,,nap,986,x,,,,-r;3sg.an,,,"Gott, Gottheit",1,,,,IC,f,,,,,,noun,,,,,,,,"<qt><font color=""#690000"">nap</font>-ir</qt>"
ra-ab-ba-ak,raabbaak,mE; nE,bind-PASS.PTCP,,,,-k,,,rapa-,1018,x,,,,-k-;ii,,,gefesselt,1,,,,IC,f,,,,,,verb,,,,,,,,"<qt><font color=""#690000"">ra</font>-<font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-<font color=""#690000"">ak</font></qt>"
ra-al,raal,mE,eternal?,,,,,,,ral,1018,x,,,,,,,ewig,0.5,,,,IC,,,,,,,noun,"ku-ri.ra-al, ku-ri.ra-a, ta-ak.ra-li",,,,,,1,"<qt><font color=""#690000"">ra</font>-al</qt>"
nu-ut-tam5-ma,nuuttam5ma,achE,nitama,,,,,,,nitama,1017,x,,,,,,,von geringster qualitat,1,,,,IC,,,OP,,,,adjective,nu-tam5-maš,nitama,,,,,,"<qt>nu-<font color=""#d50000"">ut</font>-<font color=""#e10000"">tam<sub><small>5</small></sub></font>-<font color=""#b40000"">ma</font></qt>"
te?-iz-za-ma-in-da,deizzamainda,achE,taužahvanta,,,,,,,tezawanta,316,x,,,,,,,"jahzornig, unbeherrscht, wörtlich mit Scharfe versehen",1,,,,IC,,,OP,,,,adjective,,taužahvanta,,,,,1,"<qt>te-<font color=""#b40000"">iz</font>-<font color=""#690000"">za</font>-<font color=""#b40000"">ma</font>-in-<font color=""#9b0000"">da</font></qt>"
la-si-ti-ya,lasitiya,mE,gold-ya,,,,,,,lansiti-ya,817,x,,,,-ya;adj,,,"golden, vergoldet",1,,,,IC,,,,,,,adjective,la-an-si-ti-ya,,,,,,,"<qt>la-<font color=""#690000"">si</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">ya</font></qt>"
la-tuk,latuk,nE,lat-k,,,,-k,,,lati-,,,,,,-k-;ii,,,"to restrain, reserve",0.5,,,,f,,,,,,,verb,,,,,,,1,"<qt>la-<font color=""#b40000"">tuk</font></qt>"
tu4-ip-pi-qa,duippiqa,nE,abundant,Pl.,3rd Anim.,,,,,tupi-,349,x,,,,-k;1sg.an,,,reichlich,1,,,,IC,,,,,,,adjective,,,,,,,1,
