transliteration,sorting,period,morphology,number,person,class,affix,semantics,root ≠ base,base,pagenumber,adjectival use,classifier_front,classifier_end,logogram,morpheme_1,morpheme_2,morpheme_3,sense_hk,certainty-weight_hk,sense_MEGA,certainty-weight_MEGA,proper_name_context,contributor,validator,lang_context,loan_lang,unicode,Wordnet,Notes,POS,variant,cognate,case,conjugation,mode,voice,frequency,rich
ha-ri-ki-ip,harikiip,achE,hariki-PL,Pl.,3rd Anim.,,,,,hariki,629,x,,,,-p;3pl.an,,,wenige,1,,,,f,,,,,,,adjective,ha-ri-ik-ki-ip,,,,,,,"<qt><font color=""#690000"">ha</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">ki</font>-<font color=""#690000"">ip</font></qt>"
v.har.lg.in-na,harinna,achE,har-na,,,,-na,,,har,629,x,DIŠ,MEŠ,,-na;postp.gen,,," steinern, aus Stein",1,stone,1,,f,,,,,,,noun,h.har.lg,,,,,,,"<qt><font color=""#690000"">v</font>.<font color=""#cd0000"">har</font>.<font color=""#690000"">lg</font>.in-na</qt>"
har-ki-an-na,harkianna,nE,,,,,-na,,,harki,630,x,,,,-na;postp.gen,,,"eisern, aus Eisen",0.5,iron,0.5,,f,,,,,,,noun,"har-gi-na, har-gi",,,,,,,"<qt><font color=""#cd0000"">har</font>-<font color=""#690000"">ki</font>-<font color=""#c30000"">an</font>-na</qt>"
har-qa-ma-an-na,harqamaanna,,argamannu,,,,,,,harkaman,633,x,,,,-na;postp.gen,,,rotpurpurn,1,,,,f,,,Akk,,,,noun,har-qa-man-na,argamannu,,,,,,"<qt><font color=""#cd0000"">har</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#b40000"">ma</font>-<font color=""#c30000"">an</font>-na</qt>"
har-qa-man-na,harqamanna,,argamannu,,,,,,,harkaman,633,x,,,,-na;postp.gen,,,rotpurpurn,1,,,,f,,,Akk,,,,noun,,argamannu,,,,,,"<qt><font color=""#cd0000"">har</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">man</font>-na</qt>"
har-ri-ya-ma,harriyama,achE,Aryan-LOC,Sg.,1st,,,,,hariya,636,,,,,-ma;postp.loc,,,in arisch = auf iranisch,1,"Arian, Iranian",1,,f,,,OP,,,,noun,v.har-ri-ya,,,,,,1,"<qt><font color=""#cd0000"">har</font>-<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">ya</font>-<font color=""#b40000"">ma</font></qt>"
v.har-ri-ya.zí-iš-šá,harriyaziis~s~a,achE,aryan.birth,,,,,,,hariya.ziša,637,x,DIŠ,,,,,,von iranischer Abkunft,1,Iranian ancestry,1,,f,,,OP,,,,noun,,arya-čiça,,,,,,"<qt><font color=""#690000"">v</font>.<font color=""#cd0000"">har</font>-<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">ya</font>.<font color=""#690000"">zí</font>-iš-<font color=""#c30000"">šá</font></qt>"
ha-sa-na,hasana,achE,adult,,,,,,,hasa,640,x,,,,-na;postp.gen,,,ausgewachsen,1,,,,f,,,,,,,noun,,,,,,,1,"<qt><font color=""#690000"">ha</font>-<font color=""#690000"">sa</font>-na</qt>"
ha-za-qa,hazaqa,achE,big,Sg.,1st,,,,,hazak,653,x,,,,,,,groß,1,,,,f,,,,,,,adjective,"az-za-qa, ha-iz-za-ik-qa, h.ha-za-kur-ra",,,,,,1,"<qt><font color=""#690000"">ha</font>-<font color=""#690000"">za</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
hh.hi-du-iš,hiduis~,achE,hinduš,,,,,,,Hinduš,657,,HAL,,,,,,Inder,1,,,choronym,f,,,,,,,PN,"hh.hi-du-ya, hi-in-du-iš, hh.hi-in-du-ya-ra, in-du-iš",hinduš,,,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">hi</font>-<font color=""#9b0000"">du</font>-iš</qt>"
hi-nu-šu,hinus~u,achE,same?,Sg.,1st,,,,,hinu,668,x,,,,-šu;unknown,,,"selbig, eben das",1,,,,f,,,,,,,noun,,,,,,,1,"<qt><font color=""#c30000"">hi</font>-nu-<font color=""#9b0000"">šu</font></qt>"
hi-pa-qa,hipaqa,nE,,,,,,,,hipa-,668,x,,,,-k-;ii,,,unterworfen,0.5,to subject,0.5,,f,,,,,,,verb,,,,,,,,"<qt><font color=""#c30000"">hi</font>-<font color=""#690000"">pa</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
hu-ba-šá-a-taš,hubas~aatas~,achE,upasaita,,,,,,,upašaita-š,681,x,,,,-š;op.loan,,,fast-weiß,1,,,,f,,,OP,,,,adjective,,upasaita,,,,,,"<qt><font color=""#d50000"">hu</font>-<font color=""#9b0000"">ba</font>-<font color=""#c30000"">šá</font>-<font color=""#690000"">a</font>-<font color=""#b40000"">taš</font></qt>"
hum-za-su,humzasu,oE,,,,,,,,humzasu,697,x,,,,,,,bezeichnet eine Gewandart näher,1,,,,f,,,,,,,noun,,,,,,,1,"<qt><font color=""#00ff00"">hum</font>-<font color=""#690000"">za</font>-<font color=""#690000"">su</font></qt>"
hu?-ni-ik,huniik,mE,hun-k,,,,-k,,,huni-,697,x,,,,-k-;ii,,,beleuchtet,0.5,,,,f,,,,,,,verb,,,,,,,,"<qt><font color=""#d50000"">hu</font>-<font color=""#c30000"">ni</font>-<font color=""#c30000"">ik</font></qt>"
hu-la-ap-na,hulaapna,nE,,,,,,,,hulap,690,x,,,,-na;postp.gen,,,grün,0.5,,,,IC,f,,,,,,noun,hu-ra-ap-na,,,,,,,"<qt><font color=""#d50000"">hu</font>-la-<font color=""#9b0000"">ap</font>-na</qt>"
hu-pa,hupa,achE,follow,,,,,,,hupa-,698,,,,,,,,"vorangehend, vorgehend",1,"to proceed, follow",1,,IC,f,,,,,,verb,,,,,,,,"<qt><font color=""#d50000"">hu</font>-<font color=""#690000"">pa</font></qt>"
hu-ra-ap-na,huraapna,nE,green,,,,,,,hulap,701,x,,,,-na;postp.gen,,,grün,0.5,,,,IC,f,,,,,,noun,hu-la-ap-na,,,,,,1,"<qt><font color=""#d50000"">hu</font>-<font color=""#690000"">ra</font>-<font color=""#9b0000"">ap</font>-na</qt>"
hu-si-ip-me,husiipme,mE,baked.brick-PL-INANIM.AGR,,,,,,,husi,703,x,,,,-p;3pl.an,-me;3sg.inan,,aus gebrannten Ziegeln,1,baked brick,1,,IC,f,,,,,,noun,hu-us-si-ip,,,,,,,"<qt><font color=""#d50000"">hu</font>-<font color=""#690000"">si</font>-<font color=""#690000"">ip</font>-<font color=""#9b0000"">me</font></qt>"
hu-ši-ib-ba,hus~iibba,achE,huši,Pl.,3rd Anim.,,,,,huši,704,x,,,,-p;3pl.an,,,eingehürdete [Tiere],1,,,,IC,f,,,,,,noun,"hu-ši-in, hi-ši-in, ú-šu, [h]u-ši-ik",,,,,,,"<qt><font color=""#d50000"">hu</font>-<font color=""#c30000"">ši</font>-<font color=""#690000"">ib</font>-<font color=""#9b0000"">ba</font></qt>"
hu-šu-uk,hus~uuk,nE,huši-k,,,,-k,,,hušu-,705,,,,,-k-;ii,,,"bestraft, ein Bestrafter",1,"to punish, avenge",0.5,,IC,f,,,,,,verb,,,,,,,,"<qt><font color=""#d50000"">hu</font>-<font color=""#9b0000"">šu</font>-<font color=""#9b0000"">uk</font></qt>"
hu-šu-ut-ta,hus~uutta,mE,repay-ta?,,,,,,,hušu,705,,,,,-t;3sg.inan,,,vergeltend,1,,,,IC,f,,,,,,noun,hu-šu-ya,,,,,,1,"<qt><font color=""#d50000"">hu</font>-<font color=""#9b0000"">šu</font>-<font color=""#d50000"">ut</font>-ta</qt>"
hu-šu-ú-ya,hus~uuya,mE,hušu-ya,Sg.,1st,,,,,hušu,705,,,,,-ya;adj,,,strafend,1,,,,IC,f,,,,,,noun,hu-šu-ya,,,,,,1,"<qt><font color=""#d50000"">hu</font>-<font color=""#9b0000"">šu</font>-<font color=""#9b0000"">ú</font>-<font color=""#9b0000"">ya</font></qt>"
hu-šu-ya,hus~uya,mE,repay-ya,,,,,,,hušu,705,,,,,-ya;adj,,,"vergeltend, einerseits belohnend, andrerseits strafend",1,,,,IC,f,,,,,,noun,"hu-šu-a, hu-šu-ú-a, hu-šu-ut-ta, hu-šu-ú-ya",,,,,,1,"<qt><font color=""#d50000"">hu</font>-<font color=""#9b0000"">šu</font>-<font color=""#9b0000"">ya</font></qt>"
hu-te-na,hutena,nE,clear.path-na,Sg.,3rd Anim.,,-na,,,hute,707,,,,,-na;postp.gen,,,gebahnt habend,0.5,"way, region, mountain",0.5,,IC,f,,,,,,noun,,,,,,,1,"<qt><font color=""#d50000"">hu</font>-te-na</qt>"
hu-ud-da-ma-na,huuddamana,achE,make-INF,,,,-ma,,,huta-,712,,,,,-ma-;aux,-n-;iii,,"zu machen, anzufertigen",1,"to do, make",1,,IC,f,,,,,,verb,,,,,,,1,"<qt><font color=""#d50000"">hu</font>-<font color=""#d50000"">ud</font>-<font color=""#9b0000"">da</font>-<font color=""#b40000"">ma</font>-na</qt>"
hu-ud-da-na,huuddana,achE,make-of,,,,-na,,,huta-,712,,,,,-n-;iii,,,"um zu machen, zu verwenden",1,"to do, make",1,,IC,f,,,,,,verb,,,,,,,,"<qt><font color=""#d50000"">hu</font>-<font color=""#d50000"">ud</font>-<font color=""#9b0000"">da</font>-na</qt>"
d.ITU.lg.na,ituna,achE,month-GEN,Sg.,1st,,-na,,,iiii,795,x,DINGIR,MEŠ,Sum,-na;postp.gen,,,monatlich,1,month,1,,IC,f,,,,,,noun,,,,,,,1,"<qt><font color=""#c30000"">d</font>.ITU.<font color=""#690000"">lg</font>.na</qt>"
d.ITU.lg.tan-na,itutanna,achE,itu-tinna,,,,,,,.tan,795,x,DINGIR,MEŠ,Sum,-na;postp.gen,,,monatlich,1,month,1,,IC,f,,,,,,noun,"-tin-na, d.ITU.lg.na",,,,,,,"<qt><font color=""#c30000"">d</font>.ITU.<font color=""#690000"">lg</font>.<font color=""#c30000"">tan</font>-na</qt>"
d.ITU.lg.tin-na,itutinna,achE,itu-tinna,,,,,,,.tan,796,x,DINGIR,MEŠ,Sum,-na;postp.gen,,,monatlich,1,month,1,,IC,f,,,,,,noun,d.ITU.lg.tan-na,,,,,,,"<qt><font color=""#c30000"">d</font>.ITU.<font color=""#690000"">lg</font>.<font color=""#9b0000"">tin</font>-na</qt>"
i-ya-an-me,iyaanme,nE,,,,,,,,iyan,796,,,,,-me;3sg.inan,,,für den Königshof ,1,the descendants,1,,IC,f,,,,,,noun,i-ya-an,,,,,,,"<qt><font color=""#9b0000"">i</font>-<font color=""#9b0000"">ya</font>-<font color=""#c30000"">an</font>-<font color=""#9b0000"">me</font></qt>"
in-ak-qa,inakqa,achE,,,,,,,,inaka,755,,,,,,,,"wirklich, in der Tat",1,,,,f,,,,,,,adverb,"h.in-na-ak-ki, in-na-ak-qa-na, in-na-kán-na, na-ak-kán-na, na-ak-qa-na",,,,,,,"<qt>in-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
v.i-man-nu-u,imannuu,nE,,,,,,,,Imanu,752,,DIŠ,,,,,,,,,,anthroponym,f,,,,,,,PN,v.im-ma-nu-u,,,,,,,"<qt><font color=""#690000"">v</font>.<font color=""#9b0000"">i</font>-<font color=""#690000"">man</font>-nu-<font color=""#9b0000"">u</font></qt>"
in-na-ak-qa-na,innaakqana,achE,,,,,,,,inaka,758,,,,,-na;postp.gen,,,"wirklich, tatsächlich, in der Tat",1,,,,f,,,,,,,adverb,in-ak-qa,,,,,,,"<qt>in-na-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font>-na</qt>"
in-na-kán-na,innakanna,achE,,,,,,,,inaka,758,,,,,-na;postp.gen,,,"wahrhaftig, tatsächlich, wirklich, freier der Sachverhalt ist der",1,,,,f,,,,,,,adverb,in-ak-qa,,,,,,,"<qt>in-na-<font color=""#690000"">kán</font>-na</qt>"
d.in-su-uš-na-ak-me,insuus~naakme,mE,Inšušinak-INANIM.AGR,,,,-me,,,Inšušinak,760,x,DINGIR,,,-me;3sg.inan,,,des (Gottes) Inšušinak,1,Inshushinak,1,theonym,f,,,,,,,DN,d.in-šu-ši-na-ak,,,,,,,"<qt><font color=""#c30000"">d</font>.in-<font color=""#690000"">su</font>-uš-na-<font color=""#690000"">ak</font>-<font color=""#9b0000"">me</font></qt>"
d.in-su-uš-na-ak-ni,insuus~naakni,mE,Inšušinak-INANIM2.AGR,,,,,,,Inšušinak,760,x,DINGIR,,,-ni;postp.gen,,,des (Gottes) Inšušinak,1,Inshushinak,1,theonym,f,,,,,,,DN,d.in-šu-ši-na-ak,,,,,,,"<qt><font color=""#c30000"">d</font>.in-<font color=""#690000"">su</font>-uš-na-<font color=""#690000"">ak</font>-<font color=""#c30000"">ni</font></qt>"
d.in-su-uš-na-ak-ti,insuus~naakti,mE,,,,,,,,Inšušinak,760,x,DINGIR,,,-t;3sg.inan,,,des (Gottes) Inšušinak,1,Inshushinak,1,theonym,f,,,,,,,DN,d.in-šu-ši-na-ak,,,,,,,"<qt><font color=""#c30000"">d</font>.in-<font color=""#690000"">su</font>-uš-na-<font color=""#690000"">ak</font>-<font color=""#690000"">ti</font></qt>"
ir-ba-en,irbaen,achE,,,,,,,,irban,767,,,,,,,,"bislang, vorher",1,,,,f,,,,,,,adverb,,,,,,,,"<qt>ir-<font color=""#9b0000"">ba</font>-<font color=""#690000"">en</font></qt>"
ir-da-ma,irdama,achE,rtāvā̆,,,,,,,rtawa,769,x,,,,,,,"selig, der Rechten Ordnung teilhaftig.",1,,,,f,,,OP,,,,adjective,,rtāvā̆,,,,,,"<qt>ir-<font color=""#9b0000"">da</font>-<font color=""#b40000"">ma</font></qt>"
hh.ir-da-ma,irdama,achE,rtama,,,,,,,Rtama,769,,HAL,,,,,,,,,,anthroponym,f,,,,,,,PN,,rtama,,,,,,"<qt><font color=""#9b0000"">hh</font>.ir-<font color=""#9b0000"">da</font>-<font color=""#b40000"">ma</font></qt>"
ir-pi,irpi,mE,,,,,,,,irpi,778,x,,,,,,,rund,0.5,,,,f,,,,,,,adjective,,,,,,,,"<qt>ir-<font color=""#de0000"">pi</font></qt>"
2.ir-pi,irpi,achE,earlier,,,,,,,urpu,778,,,,,,,,"früher, vorher",1,,,,f,,,,,,,adverb,"ap-pu-qa, ir-ip",,,,,,,"<qt>ir-<font color=""#de0000"">pi</font></qt>"
ir-šá-an-na,irs~aanna,achE,large-GEN,,,,,,,riša,779,x,,,,-na;postp.gen,,,groβ,1,,,,f,,,,,,,adjective,ir-šá-na,,,,,,,"<qt>ir-<font color=""#c30000"">šá</font>-<font color=""#c30000"">an</font>-na</qt>"
ir-šá-na,irs~ana,achE,large-GEN,Sg.,3rd Anim.,,,,,riša,780,x,,,,-na;postp.gen,,,groβ,1,,,,f,,,,,,,adjective,ir-šá-an-na,,,,,,1,"<qt>ir-<font color=""#c30000"">šá</font>-na</qt>"
ir-še-ki,irs~eki,achE,many,Sg.,3rd Anim.,,,,,iršeki,781,x,,,,,,,vieles,1,,,,f,,,,,,,adjective,ir-še-ik-ki,,,,,,1,"<qt>ir-<font color=""#690000"">še</font>-<font color=""#690000"">ki</font></qt>"
iš-tur-rák-qa,is~turrakqa,achE,straight,,,,,,,išturak,793,x,,,,,,,gerade,1,,,,f,,,,,,,adjective,,,,,,,1,"<qt>iš-<font color=""#b40000"">tur</font>-<font color=""#690000"">rák</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
h.i-te-man-na,itemanna,achE,,,,,,,,Ithema,794,x,AŠ,,,-na;postp.gen,,,aus Ithema,1,Ithema,1,toponym,f,,,,,,,GN,,,,,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#9b0000"">i</font>-te-<font color=""#690000"">man</font>-na</qt>"
la-an-si-di-ya,laansidiya,mE,gold-ya,,,,,,,lansiti,803,x,,,,-ya;adj,,,"golden, vergoldet",1,gold,1,,f,,,,,,,noun,la-an-si-ti-ya,,,,,,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-di-<font color=""#9b0000"">ya</font></qt>"
la-an-si-it-im-ma,laansiitimma,mE,gold-ya,,,,,,,lansiti,803,x,,,,-ma;postp.loc,,,"golden, vergoldet",1,gold,1,,f,,,,,,,noun,la-an-si-ti-ya,,,,,,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-<font color=""#690000"">it</font>-<font color=""#b40000"">im</font>-<font color=""#b40000"">ma</font></qt>"
la-an-si-it-ma,laansiitma,mE,gold-ma,,,,,,,lansiti,803,x,,,,-ma;postp.loc,,,"mit Gold, durch Gold",1,gold,1,,f,,,,,,,noun,la-an-si-ti-ya,,,,,,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-<font color=""#690000"">it</font>-<font color=""#b40000"">ma</font></qt>"
la-an-si-ti-im-ma,laansitiimma,mE,gold-ma,,,,,,,lansiti,804,x,,,,-ma;postp.loc,,,"golden, vergoldet",1,gold,1,,f,,,,,,,noun,la-an-si-it-im-ma,,,,,,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-<font color=""#690000"">ti</font>-<font color=""#b40000"">im</font>-<font color=""#b40000"">ma</font></qt>"
la-an-si-ti-i-ni,laansitiini,mE,gold-ni2,,,,,,,lansiti,804,x,,,,-ni;postp.gen,,,"golden, vergoldet",1,gold,1,,f,,,,,,,noun,la-an-si-ti-in-ni,,,,,,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">i</font>-<font color=""#c30000"">ni</font></qt>"
la-an-si-ti-in-ni,laansitiinni,mE,gold-ni2,,,,,,,lansiti,804,x,,,,-ni;postp.gen,,,"golden, aus Gold",1,gold,1,,f,,,,,,,noun,,,,,,,1,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-<font color=""#690000"">ti</font>-in-<font color=""#c30000"">ni</font></qt>"
la-an-si-ti-ip-pa,laansitiippa,mE,gold-PL,,,,,,,lansiti,804,x,,,,-p;3pl.an,,,golden,1,gold,1,,f,,,,,,,noun,"la-an-si-ti-pa, la-an-si-ti-ip-ya-pu-un",,,,,,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-<font color=""#690000"">ti</font>-<font color=""#690000"">ip</font>-<font color=""#690000"">pa</font></qt>"
la-an-si-ti-pa,laansitipa,mE,gold-PL,,,,,,,lansiti,804,x,,,,-p;3pl.an,,,golden,1,gold,1,,f,,,,,,,noun,la-an-si-ti-ip-pa,,,,,,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-<font color=""#690000"">ti</font>-<font color=""#690000"">pa</font></qt>"
la-an-si-ti-ya,laansitiya,mE,gold-ya,,,,,,,lansiti,804,x,,,,-ya;adj,,,"aus Gold, golden, vergoldet",1,gold,1,,f,,,,,,,noun,,,,,,,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">ya</font></qt>"
la-lu-bi-ti,lalubiti,oE,,,,,,,,lanlubiti,814,x,,,,,,,eine im /Monat/ Lan Lube Geborene,1,,,,f,,,Akk,,,,adjective,la-an.lu-be,,,,,,,"<qt>la-<font color=""#690000"">lu</font>-<font color=""#de0000"">bi</font>-<font color=""#690000"">ti</font></qt>"
la-mi-na,lamina,achE,,,,,,,,lami,815,,,,,-na;postp.gen,,,als Streu,0.5,litter,0.5,,f,,,,,,,noun,,,,,,,,<qt>la-mi-na</qt>
d.la-na,lana,achE,,,,,,,,lan,815,,DINGIR,,,-na;postp.gen,,,für das Kultopfer,1,"lan, divine offer",1,,f,,,,,,,noun,d.la-an.na,,,,,,,"<qt><font color=""#c30000"">d</font>.la-na</qt>"
la-ni-e,lanie,mE,silver-3SG.POSS,Sg.,3rd Anim.,,,,,lani,815,x,,,,-e;poss,,,seine silbernen,1,silver,1,,f,,,,,,,noun,la-ni,,,,,,,"<qt>la-<font color=""#c30000"">ni</font>-<font color=""#690000"">e</font></qt>"
la-ni-i-ni,laniini,mE,silver-na,,,,,,,lani,816,x,,,,-ni;postp.gen,,,silbern,1,silver,1,,f,,,,,,,noun,,,,,,,,"<qt>la-<font color=""#c30000"">ni</font>-<font color=""#9b0000"">i</font>-<font color=""#c30000"">ni</font></qt>"
la-ni-ya,laniya,mE; nE,silver-ya,,,,,,,lani,816,x,,,,-ya;adj,,,"silbern, versilbert",1,silver,1,,f,,,,,,,noun,,,,,,,,"<qt>la-<font color=""#c30000"">ni</font>-<font color=""#9b0000"">ya</font></qt>"
2.la-qa,laqa,achE,la-k,,,,,,,la-,816,,,,,-k-;ii,,,"wörtlich vorgestoßen, hinausgedrungen über, übertragen unterwegs oder auch vorüber, vergangen, ja selbst überschüssig",1,"to send forth, issue",1,,f,,,,,,,verb,"la-ak-qa, la-ik",,,,,,,"<qt>la-<font color=""#9b0000"">ka<small>4</small></font></qt>"
h.li-du-man-na,lidumanna,achE,,,,,,,,Lituma,820,x,,,,-na;postp.gen,,,zum Ort Lituma gehörig,1,Lituma,1,toponym,f,,,,,,,GN,li-du-ma,,,,,,,"<qt><font color=""#c30000"">h</font>.li-<font color=""#9b0000"">du</font>-<font color=""#690000"">man</font>-na</qt>"
li-im-ma-ak,liimmaak,mE,burn-PASS.PTCP,,,,-k,,,lima-,823,x,,,,-k-;ii,,,verbrannt,1,to burn,1,,f,,,,,,,verb,li-ma-ak,,,,,,1,"<qt>li-<font color=""#b40000"">im</font>-<font color=""#b40000"">ma</font>-<font color=""#690000"">ak</font></qt>"
li-ip-pu,liippu,achE,concerning,,,,,,,lipu-,824,,,,,-gi-ut;1sg.vb ,,,"eintrefend, anlangend",1,to arrive,1,,f,,,,,,,verb,,,,,,,1,"<qt>li-<font color=""#690000"">ip</font>-<font color=""#9b0000"">pu</font></qt>"
li-lu,lilu,mE; achE,come.forth,,,,,,,lilu-,829,,,,,,,,"aufbrechend, sich in Marsch setzend, fortziehend",1,to set off,1,,f,,,,,,,verb,ki-ik.li-lu,,,,,,,"<qt>li-<font color=""#690000"">lu</font></qt>"
li-ma,lima,mE; nE,gift-in,,,,-na,,,li-,829,,,,,-ma;postp.loc,,,als Gabe,1,gift,1,,f,,,,,,,noun,li-na,,,,,,,"<qt>li-<font color=""#b40000"">ma</font></qt>"
li-ma-an,limaan,nE,give2-DUR-ACT.PTCP,,,,-man,,,li-,829,,,,,-ma;postp.loc,-n-;iii,,als Gabe es,1,gift,1,,f,,,,,,,noun,,,,,,,,"<qt>li-<font color=""#b40000"">ma</font>-<font color=""#c30000"">an</font></qt>"
li-ma-ak,limaak,oE; nE,burn-PASS.PTCP,,,,,,,lima-,829,x,,,,-k-;ii,,,verbrannt,1,to burn,1,,f,,,,,,,verb,li-im-ma-ak,,,,,,,"<qt>li-<font color=""#b40000"">ma</font>-<font color=""#690000"">ak</font></qt>"
li-man-na,limanna,nE,,,,,,,,lima,830,x,,,,-na;postp.gen,,,"leinen, aus Leinen",0.5,linen,0.5,,f,,,,,,,noun,li-man-in-ri,,,,,,,"<qt>li-<font color=""#690000"">man</font>-na</qt>"
li-man-ni,limanni,nE,,,,,,,,lima,830,x,,,,-ni;postp.gen,,,"leinen, aus Leinen",0.5,linen,0.5,,f,,,,,,,noun,li-man-na,,,,,,,"<qt>li-<font color=""#690000"">man</font>-<font color=""#c30000"">ni</font></qt>"
li-man-pi,limanpi,achE,give2-DUR-ACT.PTCP-3PL.AGR,Pl.,3rd Anim.,,-man,,,li-,830,,,,,-ma-;aux,-n-;iii,-p;3pl.an,"abliefernde, abgebende (Leute)",1,"to give, deliver",1,,f,,,,,,,verb,,,,,,,,"<qt>li-<font color=""#690000"">man</font>-<font color=""#de0000"">pi</font></qt>"
li-mín-na,liminna,nE,,,,,,,,limi,831,x,,,,-na;postp.gen,,,aus Asbest,0.5,asbestos,0,,f,,,,,,,noun,,,,,,,,"<qt>li-<font color=""#e10000"">mín</font>-na</qt>"
li-na,lina,mE,gift,,,,-na,,,li-,831,,,,,-na;postp.gen,,,als Gabe,1,gift,1,,f,,,,,,,noun,"li-na-pu-un, il-li-na",,,,,,1,<qt>li-na</qt>
li-na-a[k-k]án,linaakkan,achE,lina,,,,,,,linaka-,831,,,,,-n-;iii,,,widerspenstig,0.5,rebellious,0.5,,f,,,,,,,adjective,2.li-na,,,,,,,"<qt>li-na-<font color=""#690000"">ak</font>-<font color=""#690000"">kán</font></qt>"
li-ri-ma,lirima,achE,lir,,,,,,,liri,833,,,,,-ma-;aux,,,zum Zelebrieren,1,to celebrate,1,,f,,,,,,,verb,,,,,,,,"<qt>li-<font color=""#9b0000"">ri</font>-<font color=""#b40000"">ma</font></qt>"
li-ri-ma-nu,lirimanu,achE,lir,,,,,,,liri,833,,,,,-ma-;aux,-n-;iii,,"um zu zelebrieren, um (regelmäβig ein Opfer) darzubringen",1,to celebrate,1,,f,,,,,,,verb,,,,,,,,"<qt>li-<font color=""#9b0000"">ri</font>-<font color=""#b40000"">ma</font>-nu</qt>"
li-ut-tuk-na,liuttukna,nE,,,,,,,,littuk,835,x,,,,-na;postp.gen,,,aus Weidengeflecht,0.5,,,,f,,,,,,,noun,,,,,,,,"<qt>li-<font color=""#d50000"">ut</font>-<font color=""#b40000"">tuk</font>-na</qt>"
hh.LUGÀL.ik,lugalik,achE,,Sg.,1st,,,,,sunki,837,,HAL,,,-iki;postp.dat,,,zum König,1,king,1,,f,,,,,,,noun,hh.LUGÀL.ik-ki,,,,,,1,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">LUGÀL</font>.<font color=""#c30000"">ik</font></qt>"
hh.LUGÀL.ik-ki,lugalikki,achE,king-towards,Sg.,1st,,,,,sunki,838,,HAL,,,-iki;postp.dat,,,zum König,1,king,1,,f,,,,,,,noun,hh.LUGÀL.ik-qa,,,,,,1,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">LUGÀL</font>.<font color=""#c30000"">ik</font>-<font color=""#690000"">ki</font></qt>"
hh.LUGÀL.ik-mar,lugalikmar,achE,,,,,,,,sunki,838,,HAL,,,-iki-mar;postp.abl,,,vom König her,1,king,1,,f,,,,,,,noun,,,,,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">LUGÀL</font>.<font color=""#c30000"">ik</font>-<font color=""#9b0000"">mar</font></qt>"
hh.LUGÀL.ik-qa,lugalikqa,achE,,,,,,,,sunki,838,,HAL,,,-iki;postp.dat,,,zum König,1,king,1,,f,,,,,,,noun,"hh.LUGÀL.ik, hh.LUGÀL.ik-ki",,,,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">LUGÀL</font>.<font color=""#c30000"">ik</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
hh.LUGÀL.ik-qa-mar,lugalikqamar,achE,,,,,,,,sunki,838,,HAL,,,-iki-mar;postp.abl,,,vom König her,1,king,1,,f,,,,,,,noun,hh.LUGÀL.ik-mar,,,,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">LUGÀL</font>.<font color=""#c30000"">ik</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#9b0000"">mar</font></qt>"
v.LUGÀL.ip-ir-ra,lugalipirra,achE,king-PL-3SG.AGR,,,,,,,sunki,838,,DIŠ,,,-p;3pl.an,-r;3sg.an,,der Könige,1,king,1,,f,,,,,,,noun,,,,,,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">LUGÀL</font>.<font color=""#690000"">ip</font>-ir-<font color=""#690000"">ra</font></qt>"
